Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2004','Virginia','Liver and Intrahepatic Bile Duct','4.9','4.4','5.4','361','7475575'
'2004','Tennessee','Liver and Intrahepatic Bile Duct','4.1','3.6','4.6','255','5910809'
'2004','South Carolina','Liver and Intrahepatic Bile Duct','3.9','3.3','4.5','170','4210921'
'2004','South Dakota','Liver and Intrahepatic Bile Duct','3.2','2.1','4.7','27','770396'
'2004','Oregon','Liver and Intrahepatic Bile Duct','5.4','4.7','6.1','208','3569463'
'2004','Pennsylvania','Liver and Intrahepatic Bile Duct','5.4','5','5.8','791','12410722'
'2004','Oklahoma','Liver and Intrahepatic Bile Duct','5.8','5.1','6.7','216','3525233'
'2004','Ohio','Liver and Intrahepatic Bile Duct','4.3','4','4.7','535','11452251'
'2004','North Carolina','Liver and Intrahepatic Bile Duct','4.6','4.2','5.1','406','8553152'
'2004','Wisconsin','Liver and Intrahepatic Bile Duct','5.3','4.8','6','311','5514026'
'2004','West Virginia','Liver and Intrahepatic Bile Duct','4.7','3.8','5.7','103','1816438'
'2004','Colorado','Liver and Intrahepatic Bile Duct','5.2','4.5','6','217','4575013'
'2004','New Jersey','Liver and Intrahepatic Bile Duct','6.2','5.7','6.7','573','8634561'
'2004','Nevada','Liver and Intrahepatic Bile Duct','6.3','5.3','7.5','143','2346222'
'2004','Washington','Liver and Intrahepatic Bile Duct','6.5','5.9','7.2','401','6178645'
'2004','Louisiana','Liver and Intrahepatic Bile Duct','6.9','6.2','7.7','309','4552238'
