Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2003','Oklahoma','Lung and Bronchus','82.5','79.6','85.5','3055','3504892'
'2003','Ohio','Lung and Bronchus','75.2','73.7','76.7','9189','11434788'
'2003','Oregon','Lung and Bronchus','68.6','66','71.4','2543','3547376'
'2003','Pennsylvania','Lung and Bronchus','70.5','69.2','71.9','10411','12374658'
'2003','Rhode Island','Lung and Bronchus','74.7','69.9','79.9','879','1071342'
'2003','South Carolina','Lung and Bronchus','76.4','73.8','79.1','3266','4150297'
'2003','Tennessee','Lung and Bronchus','77.5','75.3','79.8','4712','5847812'
'2003','Texas','Lung and Bronchus','70.5','69.3','71.7','12902','22030931'
'2003','Vermont','Lung and Bronchus','69.9','63.7','76.6','463','617858'
'2003','Virginia','Lung and Bronchus','71.3','69.3','73.3','5014','7366977'
'2003','Washington','Lung and Bronchus','70.8','68.6','73','4070','6104115'
'2003','West Virginia','Lung and Bronchus','85.5','81.7','89.5','1906','1812295'
'2003','Wyoming','Lung and Bronchus','58.1','51.6','65.1','295','503453'
'2003','Arizona','Lung and Bronchus','60.7','58.7','62.8','3437','5510364'
'2003','District of Columbia','Lung and Bronchus','66.7','60.1','73.9','374','568502'
'2003','Idaho','Lung and Bronchus','60.1','55.9','64.5','763','1363380'
'2003','Kansas','Lung and Bronchus','65.6','62.6','68.7','1833','2723004'
'2003','Minnesota','Lung and Bronchus','59.6','57.5','61.8','2929','5053572'
'2003','Nebraska','Lung and Bronchus','64.9','61.2','68.7','1173','1738643'
'2003','Montana','Lung and Bronchus','66.5','61.6','71.8','676','919630'
'2003','New Jersey','Lung and Bronchus','66.3','64.6','68','6011','8601402'
'2003','New York','Lung and Bronchus','65','63.9','66.2','13014','19175939'
'2003','North Dakota','Lung and Bronchus','63','57.2','69.1','446','638817'
'2004','Utah','Lung and Bronchus','29.5','27','32.2','511','2401580'
'2004','Colorado','Lung and Bronchus','51.7','49.4','54','2001','4575013'
'2004','New Mexico','Lung and Bronchus','47.6','44.5','50.8','903','1903808'
'2004','Wyoming','Lung and Bronchus','53.6','47.4','60.3','276','509106'
'2004','Arizona','Lung and Bronchus','59.1','57.1','61.1','3453','5652404'
'2004','Connecticut','Lung and Bronchus','67.3','64.7','70','2582','3496094'
'2004','District of Columbia','Lung and Bronchus','62.1','55.7','69.1','345','567754'
'2004','Idaho','Lung and Bronchus','59','54.9','63.3','775','1391802'
'2004','Kansas','Lung and Bronchus','63','60.1','66','1782','2734373'
'2004','Nebraska','Lung and Bronchus','67.5','63.8','71.4','1240','1749370'
'2004','Montana','Lung and Bronchus','63.5','58.7','68.5','654','930009'
'2004','West Virginia','Lung and Bronchus','88.9','85','93','1985','1816438'
'2004','North Carolina','Lung and Bronchus','76.2','74.3','78','6607','8553152'
'2004','Ohio','Lung and Bronchus','76.8','75.3','78.4','9462','11452251'
'2004','Oklahoma','Lung and Bronchus','81.4','78.5','84.3','3056','3525233'
'2004','Pennsylvania','Lung and Bronchus','69.7','68.4','71.1','10330','12410722'
'2004','Oregon','Lung and Bronchus','69.7','67','72.4','2639','3569463'
'2004','Rhode Island','Lung and Bronchus','75.6','70.7','80.7','904','1074579'
'2004','South Carolina','Lung and Bronchus','73.2','70.7','75.8','3208','4210921'
