Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2003','Utah','Brain and Other Nervous System','6.9','5.8','8.1','142','2360137'
'2003','Texas','Brain and Other Nervous System','7.2','6.8','7.5','1450','22030931'
'2003','South Dakota','Brain and Other Nervous System','8.4','6.4','10.7','65','763729'
'2004','Hawaii','Brain and Other Nervous System','4.2','3.1','5.4','56','1273569'
'2004','Louisiana','Brain and Other Nervous System','5.8','5.1','6.6','261','4552238'
'2004','District of Columbia','Brain and Other Nervous System','5.6','3.8','7.9','31','567754'
'2004','Virginia','Brain and Other Nervous System','6.6','6','7.2','490','7475575'
'2004','South Carolina','Brain and Other Nervous System','6.7','5.9','7.5','287','4210921'
'2004','North Carolina','Brain and Other Nervous System','6.8','6.2','7.3','587','8553152'
'2004','Montana','Brain and Other Nervous System','7.7','6.1','9.7','78','930009'
'2004','Missouri','Brain and Other Nervous System','7','6.4','7.7','421','5747741'
'2004','Michigan','Brain and Other Nervous System','7.4','6.9','8','759','10055315'
'2004','Massachusetts','Brain and Other Nervous System','7.2','6.5','7.9','476','6412281'
'2004','Maine','Brain and Other Nervous System','9.5','8','11.3','137','1313688'
'2004','Kentucky','Brain and Other Nervous System','7.2','6.4','8','305','4146101'
'2004','Iowa','Brain and Other Nervous System','7.5','6.5','8.5','234','2953635'
'2004','Indiana','Brain and Other Nervous System','7.2','6.5','7.9','450','6233007'
'2004','Idaho','Brain and Other Nervous System','7.3','6','8.9','100','1391802'
'2004','Florida','Brain and Other Nervous System','7.3','6.9','7.7','1423','17415318'
'2004','Delaware','Brain and Other Nervous System','8.1','6.3','10.2','69','830803'
'2004','Connecticut','Brain and Other Nervous System','7.4','6.6','8.4','273','3496094'
'2004','New Mexico','Brain and Other Nervous System','6.4','5.4','7.7','124','1903808'
'2004','New York','Brain and Other Nervous System','6.8','6.4','7.1','1331','19171567'
'2004','Washington','Brain and Other Nervous System','7.6','6.9','8.3','465','6178645'
'2004','Utah','Brain and Other Nervous System','7.5','6.4','8.8','159','2401580'
'2004','Texas','Brain and Other Nervous System','6.9','6.5','7.2','1430','22394023'
'2004','Tennessee','Brain and Other Nervous System','7.1','6.5','7.8','430','5910809'
'2004','South Dakota','Brain and Other Nervous System','7.9','6.1','10.1','64','770396'
'2004','Rhode Island','Brain and Other Nervous System','8.6','7','10.5','99','1074579'
'2004','Pennsylvania','Brain and Other Nervous System','7.4','7','7.9','1004','12410722'
'2004','Oregon','Brain and Other Nervous System','7.7','6.8','8.7','285','3569463'
'2004','Oklahoma','Brain and Other Nervous System','7.4','6.6','8.4','271','3525233'
'2004','Ohio','Brain and Other Nervous System','6.9','6.5','7.4','824','11452251'
'2004','North Dakota','Brain and Other Nervous System','7.1','5.2','9.4','47','644705'
'2004','Wyoming','Brain and Other Nervous System','7.8','5.5','10.7','40','509106'
'2004','Wisconsin','Brain and Other Nervous System','7','6.4','7.8','398','5514026'
'2004','West Virginia','Brain and Other Nervous System','8.2','6.9','9.5','164','1816438'
'2004','Mississippi','Brain and Other Nervous System','6.3','5.4','7.3','182','2889010'
'2004','California','Brain and Other Nervous System','6.3','6.1','6.6','2148','35574576'
'2004','Arkansas','Brain and Other Nervous System','6.2','5.4','7.2','182','2749686'
'2004','Vermont','Brain and Other Nervous System','6.3','4.5','8.6','41','619920'
'2004','Nebraska','Brain and Other Nervous System','6.9','5.7','8.2','124','1749370'
'2004','Minnesota','Brain and Other Nervous System','6.6','6','7.4','336','5087713'
'2004','Maryland','Brain and Other Nervous System','6.4','5.8','7.1','356','5546935'
'2004','Kansas','Brain and Other Nervous System','6.7','5.8','7.8','186','2734373'
'2004','Illinois','Brain and Other Nervous System','6.8','6.4','7.3','853','12589773'
'2004','Georgia','Brain and Other Nervous System','6.6','6','7.2','539','8769252'
'2004','Alabama','Brain and Other Nervous System','6.8','6','7.6','317','4530729'
'2004','Arizona','Brain and Other Nervous System','7.2','6.5','8','412','5652404'
'2004','Alaska','Brain and Other Nervous System','7.6','5.3','10.6','41','659286'
'2004','Colorado','Brain and Other Nervous System','6.9','6.1','7.7','298','4575013'
'2004','New Jersey','Brain and Other Nervous System','7.6','7','8.1','678','8634561'
'2004','New Hampshire','Brain and Other Nervous System','8.3','6.8','10','108','1290121'
'2004','Nevada','Brain and Other Nervous System','7.1','6','8.3','164','2346222'
'2005','Hawaii','Brain and Other Nervous System','3.6','2.6','4.7','49','1292729'
'2005','South Dakota','Brain and Other Nervous System','5.5','4','7.4','45','775493'
'2005','Minnesota','Brain and Other Nervous System','5.5','4.9','6.2','283','5119598'
'2005','New Mexico','Brain and Other Nervous System','6','4.9','7.2','117','1932274'
'2005','Maryland','Brain and Other Nervous System','5.7','5.1','6.4','321','5592379'
'2005','Louisiana','Brain and Other Nervous System','5.8','5.1','6.5','255','4411396'
'2005','Texas','Brain and Other Nervous System','6.8','6.4','7.1','1428','22773020'
'2005','Mississippi','Brain and Other Nervous System','6.6','5.7','7.6','189','2876229'
'2005','Kentucky','Brain and Other Nervous System','6.7','6','7.6','291','4182742'
'2005','Georgia','Brain and Other Nervous System','6.6','6.1','7.2','549','8925922'
'2005','District of Columbia','Brain and Other Nervous System','6.8','4.8','9.4','39','567136'
'2005','Wisconsin','Brain and Other Nervous System','7.4','6.7','8.2','428','5546166'
'2005','West Virginia','Brain and Other Nervous System','7','5.8','8.2','142','1820492'
'2005','Washington','Brain and Other Nervous System','7.6','7','8.4','479','6257305'
'2005','Vermont','Brain and Other Nervous System','8.6','6.5','11.2','56','621215'
'2005','Utah','Brain and Other Nervous System','7.9','6.7','9.2','171','2457719'
'2005','South Carolina','Brain and Other Nervous System','7.1','6.3','8','308','4270150'
'2005','Rhode Island','Brain and Other Nervous System','7.7','6.1','9.5','86','1067916'
'2005','Pennsylvania','Brain and Other Nervous System','7.2','6.7','7.7','984','12449990'
'2005','Oregon','Brain and Other Nervous System','7.3','6.5','8.3','279','3613202'
'2005','Oklahoma','Brain and Other Nervous System','7.1','6.2','8','260','3548597'
'2005','Ohio','Brain and Other Nervous System','7.5','7.1','8.1','908','11463320'
'2005','North Dakota','Brain and Other Nervous System','8.9','6.8','11.6','60','646089'
'2005','North Carolina','Brain and Other Nervous System','7.2','6.7','7.8','641','8705407'
'2005','New York','Brain and Other Nervous System','7','6.6','7.4','1382','19132610'
'2005','New Jersey','Brain and Other Nervous System','7.3','6.7','7.9','653','8651974'
'2005','New Hampshire','Brain and Other Nervous System','7.5','6.1','9.2','101','1298492'
'2005','Nebraska','Brain and Other Nervous System','7.8','6.5','9.2','141','1761497'
'2005','Montana','Brain and Other Nervous System','8.4','6.7','10.4','86','940102'
'2005','Missouri','Brain and Other Nervous System','7.3','6.6','8','438','5790300'
'2005','Michigan','Brain and Other Nervous System','7.5','7','8.1','780','10051137'
'2005','Massachusetts','Brain and Other Nervous System','7.2','6.6','7.9','485','6403290'
'2005','Maine','Brain and Other Nervous System','7.5','6.1','9','110','1318787'
'2005','Kansas','Brain and Other Nervous System','6.9','5.9','7.9','193','2745299'
'2005','Iowa','Brain and Other Nervous System','8','7.1','9.1','255','2964454'
'2005','Indiana','Brain and Other Nervous System','6.9','6.2','7.5','438','6278616'
'2005','Idaho','Brain and Other Nervous System','9','7.5','10.8','127','1428241'
'2005','Florida','Brain and Other Nervous System','7.3','6.9','7.7','1470','17842038'
'2005','Delaware','Brain and Other Nervous System','7.5','5.8','9.6','68','845150'
'2005','Connecticut','Brain and Other Nervous System','7.2','6.3','8.1','264','3506956'
'2005','California','Brain and Other Nervous System','6.3','6','6.6','2150','35827943'
